I (3053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (14453) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3554 | Ring: 0 | Pinky: 0
I (14753) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3544 | Ring: 0 | Pinky: 0
I (15053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3539 | Ring: 0 | Pinky: 0
I (15353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3521 | Ring: 0 | Pinky: 0
I (15653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3518 | Ring: 0 | Pinky: 0
I (15953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3507 | Ring: 0 | Pinky: 0
I (16253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3501 | Ring: 0 | Pinky: 0
I (16553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3493 | Ring: 0 | Pinky: 0
I (17053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3454 | Ring: 0 | Pinky: 0
I (17353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3430 | Ring: 0 | Pinky: 0
I (17653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3434 | Ring: 0 | Pinky: 0
I (17953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3401 | Ring: 0 | Pinky: 0
I (18253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3386 | Ring: 0 | Pinky: 0
I (18553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3357 | Ring: 0 | Pinky: 0
I (18853) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3378 | Ring: 0 | Pinky: 0
I (19153) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3387 | Ring: 0 | Pinky: 0
I (19453) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3374 | Ring: 0 | Pinky: 0
I (19753) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3341 | Ring: 0 | Pinky: 0
I (20053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3335 | Ring: 0 | Pinky: 0
I (20353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3325 | Ring: 0 | Pinky: 0
I (20653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3349 | Ring: 0 | Pinky: 0
I (20953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3346 | Ring: 0 | Pinky: 0
I (21253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3316 | Ring: 0 | Pinky: 0
I (21553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3328 | Ring: 0 | Pinky: 0
I (21853) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3321 | Ring: 0 | Pinky: 0
I (22153) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3276 | Ring: 0 | Pinky: 0
I (22453) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3283 | Ring: 0 | Pinky: 0
I (22753) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3281 | Ring: 0 | Pinky: 0
I (23053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3291 | Ring: 0 | Pinky: 0
I (23353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3288 | Ring: 0 | Pinky: 0
I (23653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3291 | Ring: 0 | Pinky: 0
I (23953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3281 | Ring: 0 | Pinky: 0
I (24253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3282 | Ring: 0 | Pinky: 0
I (24553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3282 | Ring: 0 | Pinky: 0
I (24853) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3276 | Ring: 0 | Pinky: 0
I (25153) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3280 | Ring: 0 | Pinky: 0
I (25453) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3288 | Ring: 0 | Pinky: 0
I (25753) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3300 | Ring: 0 | Pinky: 0
I (26053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3325 | Ring: 0 | Pinky: 0
I (26353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3317 | Ring: 0 | Pinky: 0
I (26653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3312 | Ring: 0 | Pinky: 0
I (26953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3275 | Ring: 0 | Pinky: 0
I (27253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3267 | Ring: 0 | Pinky: 0
I (27553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3260 | Ring: 0 | Pinky: 0
I (27853) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3258 | Ring: 0 | Pinky: 0
I (28153) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3253 | Ring: 0 | Pinky: 0
I (28453) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3246 | Ring: 0 | Pinky: 0
I (28753) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3241 | Ring: 0 | Pinky: 0
I (29053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3237 | Ring: 0 | Pinky: 0
I (29353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3234 | Ring: 0 | Pinky: 0
I (29653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3236 | Ring: 0 | Pinky: 0
I (29953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3235 | Ring: 0 | Pinky: 0
I (30253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3235 | Ring: 0 | Pinky: 0
I (30553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3231 | Ring: 0 | Pinky: 0
I (30853) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3230 | Ring: 0 | Pinky: 0
I (31153) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3230 | Ring: 0 | Pinky: 0
I (31453) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3232 | Ring: 0 | Pinky: 0
I (31753) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3231 | Ring: 0 | Pinky: 0
I (32053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3238 | Ring: 0 | Pinky: 0
I (32353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3225 | Ring: 0 | Pinky: 0
I (32653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3268 | Ring: 0 | Pinky: 0
I (32953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3258 | Ring: 0 | Pinky: 0
I (33253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3236 | Ring: 0 | Pinky: 0
I (33553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3236 | Ring: 0 | Pinky: 0
I (33853) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3221 | Ring: 0 | Pinky: 0
I (34153) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3222 | Ring: 0 | Pinky: 0
I (34453) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3221 | Ring: 0 | Pinky: 0
I (34753) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3194 | Ring: 0 | Pinky: 0
I (35053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3192 | Ring: 0 | Pinky: 0
I (35353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3190 | Ring: 0 | Pinky: 0
I (35653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3190 | Ring: 0 | Pinky: 0
I (35953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3208 | Ring: 0 | Pinky: 0
I (36253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3186 | Ring: 0 | Pinky: 0
I (36553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3194 | Ring: 0 | Pinky: 0
I (36853) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3210 | Ring: 0 | Pinky: 0
I (37153) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3212 | Ring: 0 | Pinky: 0
I (37453) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3202 | Ring: 0 | Pinky: 0
I (37753) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3198 | Ring: 0 | Pinky: 0
I (38053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3189 | Ring: 0 | Pinky: 0
I (38353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3174 | Ring: 0 | Pinky: 0
I (38653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3196 | Ring: 0 | Pinky: 0
I (38953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3200 | Ring: 0 | Pinky: 0
I (39253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3202 | Ring: 0 | Pinky: 0
I (39553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3201 | Ring: 0 | Pinky: 0
I (39853) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3198 | Ring: 0 | Pinky: 0
I (40153) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3201 | Ring: 0 | Pinky: 0
I (40453) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3197 | Ring: 0 | Pinky: 0
I (40753) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3198 | Ring: 0 | Pinky: 0
I (41053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3192 | Ring: 0 | Pinky: 0
I (41353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3181 | Ring: 0 | Pinky: 0
I (41653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3169 | Ring: 0 | Pinky: 0
I (41953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3166 | Ring: 0 | Pinky: 0
I (42253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3170 | Ring: 0 | Pinky: 0
I (42553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3177 | Ring: 0 | Pinky: 0
I (42853) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3165 | Ring: 0 | Pinky: 0
I (43153) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3155 | Ring: 0 | Pinky: 0
I (43453) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3168 | Ring: 0 | Pinky: 0
I (43753) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3168 | Ring: 0 | Pinky: 0
I (44053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3155 | Ring: 0 | Pinky: 0
I (44353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3157 | Ring: 0 | Pinky: 0
I (44653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3158 | Ring: 0 | Pinky: 0
I (44953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3153 | Ring: 0 | Pinky: 0
I (45253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3148 | Ring: 0 | Pinky: 0
I (45553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3147 | Ring: 0 | Pinky: 0
I (45853) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3142 | Ring: 0 | Pinky: 0
I (46153) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3143 | Ring: 0 | Pinky: 0
I (46453) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3131 | Ring: 0 | Pinky: 0
I (46753) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3138 | Ring: 0 | Pinky: 0
I (47053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3127 | Ring: 0 | Pinky: 0
I (47353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3127 | Ring: 0 | Pinky: 0
I (47653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3145 | Ring: 0 | Pinky: 0
I (47953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3129 | Ring: 0 | Pinky: 0
I (48253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3125 | Ring: 0 | Pinky: 0
I (48553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3130 | Ring: 0 | Pinky: 0
I (48853) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3121 | Ring: 0 | Pinky: 0
I (49153) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3106 | Ring: 0 | Pinky: 0
I (49453) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3094 | Ring: 0 | Pinky: 0
I (49753) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 3078 | Ring: 0 | Pinky: 0
I (50053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 2121 | Ring: 0 | Pinky: 0
I (50353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (50653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (50953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (51253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (51553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (51853) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (52153) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (52453) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (52753) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (53053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (53353) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (53653) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (53953) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (54253) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (54553) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (54853) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (55153) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (55453) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (55753) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (56053) FLEX_DFPLAYER: Thumb: 0 | Index: 0 | Middle: 0 | Ring: 0 | Pinky: 0
I (56353) FLEX_DFPLAYER: Thumb: 0 | Index: 1348 | Middle: 0 | Ring: 0 | Pinky: 0
I (56853) FLEX_DFPLAYER: Thumb: 0 | Index: 3507 | Middle: 0 | Ring: 0 | Pinky: 0
I (57153) FLEX_DFPLAYER: Thumb: 0 | Index: 3509 | Middle: 0 | Ring: 0 | Pinky: 0
I (57453) FLEX_DFPLAYER: Thumb: 0 | Index: 2631 | Middle: 0 | Ring: 0 | Pinky: 0
I (57953) FLEX_DFPLAYER: Thumb: 0 | Index: 2422 | Middle: 0 | Ring: 0 | Pinky: 0
I (58253) FLEX_DFPLAYER: Thumb: 0 | Index: 2519 | Middle: 0 | Ring: 0 | Pinky: 0
I (58553) FLEX_DFPLAYER: Thumb: 0 | Index: 2552 | Middle: 0 | Ring: 0 | Pinky: 0
I (58853) FLEX_DFPLAYER: Thumb: 0 | Index: 2924 | Middle: 0 | Ring: 0 | Pinky: 0
I (59153) FLEX_DFPLAYER: Thumb: 0 | Index: 2588 | Middle: 0 | Ring: 0 | Pinky: 0
I (59453) FLEX_DFPLAYER: Thumb: 0 | Index: 2633 | Middle: 0 | Ring: 0 | Pinky: 0
I (59753) FLEX_DFPLAYER: Thumb: 0 | Index: 2482 | Middle: 0 | Ring: 0 | Pinky: 0
I (60053) FLEX_DFPLAYER: Thumb: 0 | Index: 2491 | Middle: 0 | Ring: 0 | Pinky: 0
I (60353) FLEX_DFPLAYER: Thumb: 0 | Index: 2467 | Middle: 0 | Ring: 0 | Pinky: 0
I (60653) FLEX_DFPLAYER: Thumb: 0 | Index: 2482 | Middle: 0 | Ring: 0 | Pinky: 0
I (60953) FLEX_DFPLAYER: Thumb: 0 | Index: 2488 | Middle: 0 | Ring: 0 | Pinky: 0
I (61253) FLEX_DFPLAYER: Thumb: 0 | Index: 2526 | Middle: 0 | Ring: 0 | Pinky: 0
I (61553) FLEX_DFPLAYER: Thumb: 0 | Index: 2559 | Middle: 0 | Ring: 0 | Pinky: 0
I (61853) FLEX_DFPLAYER: Thumb: 0 | Index: 2563 | Middle: 0 | Ring: 0 | Pinky: 0
I (62153) FLEX_DFPLAYER: Thumb: 0 | Index: 2530 | Middle: 0 | Ring: 0 | Pinky: 0
I (62453) FLEX_DFPLAYER: Thumb: 0 | Index: 2549 | Middle: 0 | Ring: 0 | Pinky: 0
I (62753) FLEX_DFPLAYER: Thumb: 0 | Index: 2558 | Middle: 0 | Ring: 0 | Pinky: 0
I (63053) FLEX_DFPLAYER: Thumb: 0 | Index: 2537 | Middle: 0 | Ring: 0 | Pinky: 0
I (63353) FLEX_DFPLAYER: Thumb: 0 | Index: 2430 | Middle: 0 | Ring: 0 | Pinky: 0
I (63653) FLEX_DFPLAYER: Thumb: 0 | Index: 2373 | Middle: 0 | Ring: 0 | Pinky: 0
I (63953) FLEX_DFPLAYER: Thumb: 0 | Index: 2288 | Middle: 0 | Ring: 0 | Pinky: 0
I (64253) FLEX_DFPLAYER: Thumb: 0 | Index: 2250 | Middle: 0 | Ring: 0 | Pinky: 0
I (64553) FLEX_DFPLAYER: Thumb: 0 | Index: 2367 | Middle: 0 | Ring: 0 | Pinky: 0
I (64853) FLEX_DFPLAYER: Thumb: 0 | Index: 2452 | Middle: 0 | Ring: 0 | Pinky: 0
I (65153) FLEX_DFPLAYER: Thumb: 0 | Index: 2492 | Middle: 0 | Ring: 0 | Pinky: 0
I (65453) FLEX_DFPLAYER: Thumb: 0 | Index: 2411 | Middle: 0 | Ring: 0 | Pinky: 0
I (65753) FLEX_DFPLAYER: Thumb: 0 | Index: 2460 | Middle: 0 | Ring: 0 | Pinky: 0
I (66053) FLEX_DFPLAYER: Thumb: 0 | Index: 2787 | Middle: 0 | Ring: 0 | Pinky: 0
I (66353) FLEX_DFPLAYER: Thumb: 0 | Index: 2745 | Middle: 0 | Ring: 0 | Pinky: 0
I (66653) FLEX_DFPLAYER: Thumb: 0 | Index: 2607 | Middle: 0 | Ring: 0 | Pinky: 0
I (66953) FLEX_DFPLAYER: Thumb: 0 | Index: 2941 | Middle: 0 | Ring: 0 | Pinky: 0
I (67253) FLEX_DFPLAYER: Thumb: 0 | Index: 2800 | Middle: 0 | Ring: 0 | Pinky: 0
I (67553) FLEX_DFPLAYER: Thumb: 0 | Index: 2790 | Middle: 0 | Ring: 0 | Pinky: 0
I (67853) FLEX_DFPLAYER: Thumb: 0 | Index: 2678 | Middle: 0 | Ring: 0 | Pinky: 0
I (68153) FLEX_DFPLAYER: Thumb: 0 | Index: 2635 | Middle: 0 | Ring: 0 | Pinky: 0
I (68453) FLEX_DFPLAYER: Thumb: 0 | Index: 2674 | Middle: 0 | Ring: 0 | Pinky: 0
I (68753) FLEX_DFPLAYER: Thumb: 0 | Index: 2709 | Middle: 0 | Ring: 0 | Pinky: 0
I (69053) FLEX_DFPLAYER: Thumb: 0 | Index: 2741 | Middle: 0 | Ring: 0 | Pinky: 0
I (69353) FLEX_DFPLAYER: Thumb: 0 | Index: 3037 | Middle: 0 | Ring: 0 | Pinky: 0
I (69653) FLEX_DFPLAYER: Thumb: 0 | Index: 3034 | Middle: 0 | Ring: 0 | Pinky: 0
I (69953) FLEX_DFPLAYER: Thumb: 0 | Index: 2995 | Middle: 0 | Ring: 0 | Pinky: 0
I (70253) FLEX_DFPLAYER: Thumb: 0 | Index: 2982 | Middle: 0 | Ring: 0 | Pinky: 0
I (70553) FLEX_DFPLAYER: Thumb: 0 | Index: 2948 | Middle: 0 | Ring: 0 | Pinky: 0
I (70853) FLEX_DFPLAYER: Thumb: 0 | Index: 2706 | Middle: 0 | Ring: 0 | Pinky: 0
I (71153) FLEX_DFPLAYER: Thumb: 0 | Index: 2705 | Middle: 0 | Ring: 0 | Pinky: 0
I (71453) FLEX_DFPLAYER: Thumb: 0 | Index: 2699 | Middle: 0 | Ring: 0 | Pinky: 0
I (71753) FLEX_DFPLAYER: Thumb: 0 | Index: 2631 | Middle: 0 | Ring: 0 | Pinky: 0
I (72053) FLEX_DFPLAYER: Thumb: 0 | Index: 2512 | Middle: 0 | Ring: 0 | Pinky: 0
I (72353) FLEX_DFPLAYER: Thumb: 0 | Index: 2688 | Middle: 0 | Ring: 0 | Pinky: 0
I (72653) FLEX_DFPLAYER: Thumb: 0 | Index: 2750 | Middle: 0 | Ring: 0 | Pinky: 0
I (72953) FLEX_DFPLAYER: Thumb: 0 | Index: 2769 | Middle: 0 | Ring: 0 | Pinky: 0
I (73253) FLEX_DFPLAYER: Thumb: 0 | Index: 2772 | Middle: 0 | Ring: 0 | Pinky: 0
I (73553) FLEX_DFPLAYER: Thumb: 0 | Index: 2763 | Middle: 0 | Ring: 0 | Pinky: 0
I (73853) FLEX_DFPLAYER: Thumb: 0 | Index: 2771 | Middle: 0 | Ring: 0 | Pinky: 0
I (74153) FLEX_DFPLAYER: Thumb: 0 | Index: 2770 | Middle: 0 | Ring: 0 | Pinky: 0
